,Title,URL,Channel,Views,Uploaded,Description,Thumbnail
0,Vande Mataram - A.R. Rahman| Maa Tujhe Salaam| Independence Day Song,https://www.youtube.com/watch?v=Y6WV7v4zuNM,SonyMusicIndiaVEVO,998K views,1 day ago,"Celebrate 78th Independence Day and immerse yourself in the soul-stirring sounds of ""Vande Mataram"" as A.R. Rahman brings to life the spirit of India with his timeless anthem, ""Maa Tujhe Salaam.""...",https://i.ytimg.com/vi/Y6WV7v4zuNM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBH0gB5jDs8_NYcvSqxoYbCiGSQ2g
1,Mahindra Thar Roxx 5-Door Walkaround | Gagan Choudhary,https://www.youtube.com/watch?v=iWI1blim1Vk,Gagan Choudhary,870K views,6 hours ago,"Namaste, Mahindra Thar roxx or the Thar 5-door, is here now, and it starts at Rs 12.99 Lakh for petrol and 13.99 Lakh for Diesel. This is a big step-up from the Thar 3 door regarding features,...",https://i.ytimg.com/vi/iWI1blim1Vk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBggioBedI0JUN3E4oZWtWyZv_l6A
2,Emergency | Official Trailer | In Cinemas 6th September | Kangana Ranaut,https://www.youtube.com/watch?v=A2OQ-f_LOHA,Zee Studios,12M views,1 day ago,INDIA is INDIRA & INDIRA is INDIA!!! Witness the story of the Most Powerful Woman In The History of India and the Darkest Chapter She Wrote in its History! #EmergencyTrailer Out Now! #KanganaRanau...,
3,INDIA'S GOT LATENT | EP 04 ft. @ComedianMaheepSingh ⁠@TandonAmit @neetipalta9490,https://www.youtube.com/watch?v=Vsx9a7-IXX4,Samay Raina,7.3M views,3 days ago,Latent' is an ability that is hidden deep inside. If you have a 'Latent' or want to discover your latent by participating in future episodes please follow Samay Raina's instagram channel and...,
4,Mahindra Thar Roxx - 5 Door Thar Starts From Rs. 12.99 Lakhs | Faisal Khan,https://www.youtube.com/watch?v=H3yKij13XIc,Faisal Khan,1M views,16 hours ago,Buy Involve Gel Carbon Black car perfume - https://bit.ly/31NjGAG Flat 10% OFF across website using coupon code FasBeam Here is the most detailed review of the Mahindra Thar Roxx I tell you...,
5,Independence Day 2024 : Red Fort पर अपने भाषण की शुरुआत में क्या बोल दिए PM Narendra Modi ? Top News,https://www.youtube.com/watch?v=-V_KB2PoQa4,News18 Rajasthan,690K views,6 hours ago,Independence Day 2024 : Red Fort पर अपने भाषण की शुरुआत में क्या बोल दिए PM Narendra Modi ? Top News आज देशभर में...,
6,Kanguva - Tamil Trailer | Suriya | Bobby Deol | Devi Sri Prasad | Siva | Studio Green | UV Creations,https://www.youtube.com/watch?v=ajnCMSC4VPo,Saregama Tamil,30M views,3 days ago,"Studio Green K.E. Gnanavelraja in association with UV Creations Vamsi - Pramod presents Siva Directorial 'Kanguva'. For more latest songs & videos, subscribe 👉 https://bit.ly/Saregama_Tamil...",
7,Stree 2 Movie REVIEW,https://www.youtube.com/watch?v=7f3DiaLQRL0,Filmi Indian,646K views,10 hours ago,"Stree 2 Movie Review By Deeksha Sharma. Stree 2 Featuring Shraddha Kapoor, Rajkummar Rao Directed by Amar Kaushik is the Most Anticipated Bollywood Sequel to 2018 Stree Horror Comedy Franchise...",
8,"15th August Song | I Love My India, Jalwa Jalwa, Aye Watan |Independence Day Special|Patriotic Songs",https://www.youtube.com/watch?v=s7uObUR_FgQ,Tips Official,1.2M views,1 day ago,"🎉 Celebrate India's Independence with Iconic Hits like 'I Love My India,' 'Jalwa Jalwa,' and 'Aye Watan.' Relive the Spirit of Freedom with These Timeless Patriotic Anthems! 🇮🇳✨""...",
9,DARKHEROES: WE FOUND TIME PROBOIZ IN MINECRAFT [S3 Episode 10],https://www.youtube.com/watch?v=RlOgtZIlm3c,ProBoiz 95,993K views,21 hours ago,"So today, in this Episode, I was forced to go to the Prison of the Time Dimension as I broke the rules of time. I Found some allies there and tried to escape, but... something unexpected occurred.....",
